Transaction_ID,Date,Month,Year,Day_Name,Category,Subcategory,Description,Payment_Method,Bank_Account,City,Income,Expense,Balance_Type,Budget,Savings_Goal,Transaction_Type,Remarks
TX10001,2025-01-01,January,2025,Wednesday,Salary,Monthly Salary,Salary Credited,Bank Transfer,SBI,Pune,30000,0,Income,0,100000,Income,Monthly salary
TX10002,2025-01-01,January,2025,Wednesday,Transport,Petrol,Regular Transaction,Cash,SBI,Bengaluru,0,2251,Expense,4364,100000,Expense,Regular transaction
TX10003,2025-01-02,January,2025,Thursday,Food,Restaurant,Regular Transaction,Debit Card,HDFC,Delhi,0,2100,Expense,2833,100000,Expense,Regular transaction
TX10004,2025-01-03,January,2025,Friday,Food,Restaurant,Regular Transaction,UPI,SBI,Delhi,0,1760,Expense,2860,100000,Expense,Regular transaction
TX10005,2025-01-04,January,2025,Saturday,Health,Gym,Regular Transaction,Cash,PNB,Bengaluru,0,2879,Expense,5742,100000,Expense,Regular transaction
TX10006,2025-01-05,January,2025,Sunday,Shopping,Accessories,Regular Transaction,Credit Card,PNB,Mumbai,0,354,Expense,6095,100000,Expense,Regular transaction
TX10007,2025-01-06,January,2025,Monday,Bills,Mobile Recharge,Regular Transaction,Net Banking,HDFC,Jaipur,0,207,Expense,4581,100000,Expense,Regular transaction
TX10008,2025-01-07,January,2025,Tuesday,Health,Medicine,Regular Transaction,UPI,HDFC,Bengaluru,0,2817,Expense,2625,100000,Expense,Regular transaction
TX10009,2025-01-08,January,2025,Wednesday,Entertainment,Movie,Regular Transaction,Cash,SBI,Delhi,0,1623,Expense,4045,100000,Expense,Regular transaction
TX10010,2025-01-09,January,2025,Thursday,Entertainment,Gaming,Regular Transaction,Debit Card,ICICI,Bengaluru,0,2880,Expense,4216,100000,Expense,Regular transaction
TX10011,2025-01-10,January,2025,Friday,Bills,Mobile Recharge,Regular Transaction,UPI,SBI,Jaipur,0,256,Expense,5589,100000,Expense,Regular transaction
